no.,Pariticpant,Age,Gender ,Occupation,Questions 4,Questions 5,Questions 6,Questions 7,,,,,,,
,,,,,,,,,,,,,,,
1,72G,26,Female,Digital Media,6,6,2,1,,,,,,,
2,104P,23,Female,Film,4,5,6,4,,,,,,,
3,21N,25,Male,Psychology,1,3,2,4,,,,,,,
4,79M,54,Female,Chef,1,3,1,4,,,,,,,
5,80L,26,Male,Digital Media,4,1,5,3,,,,,,,
6,99K,26,Male,Conductor,1,1,2,4,,,,,,,
7,16I,26,Female,Cultural Science,4,6,2,1,,,,,,,
8,19D,25,Female,Integrated Design,2,5,1,4,,,,,,,
9,54C,27,Male,Engeeniering,4,3,4,3,,,,,,,
10,63E,26,Non-Binary,Security,2,5,3,5,,,,,,,
11,17F,27,Male,History & English ,3,2,2,4,,,,,,,
12,12H,27,Male,Cultural Science,1,4,2,5,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 csi factor,,,,99k,16i,21n,79m,80l,104p,12h,17f,63e,19d,72g,54c
,,,,,,,,,,,,,,,
Be creative and expressive,,,,3,4,2,1,3,4,5,3,2,3,2,2
Become immersed in the activity,,,,2,1,0,5,2,1,0,5,4,2,5,3
Enjoy using the system or tool,,,,4,5,4,4,5,3,2,2,3,4,3,3
"Explore many different ideas, outcomes, or possibilities",,,,1,3,4,2,4,5,3,4,5,5,4,3
Produce results that are worth the effort I put in,,,,0,2,1,2,1,2,2,1,1,1,0,4
Work with other people,,,,5,0,4,1,0,0,3,0,0,0,1,0
